FID,CT_Tag_ID,Date_Ptd,Cultivar,SciName,CmmnName,DBH,Program,EventORAdd,Impervious,DBH1,DBH2,DBH3,DBH4,TotalHeigh,Width_NS,Width_EW,PercentMis,CrownCondi,TreeStruct,SpaceType1,CrownBase,Jurisdicti,SpaceTypeD,Cond_18,SpaceType,Condition,DDOE,PTG_Notes,Cond_12,Genus,Species,StockType,Class_Code,Mntc_Condn,Season,Nursery,Condit_13,POINT_X,POINT_Y,Cond_17,Cond_16,Cond_15,Cond_14,db_jdx,db_year,db_Season,db_removed,db_SpaceTy,db_Prog,db_StockT,db_ClassCo,db_Nursery,db_Genus,db_Species,db_mtc,db_pltdbh,isAlive,Death_Yr,Death_Age,Age,Cond_Agg
5370,LGCY2686,3/18/06 0:00, ,Magnolia galaxy,Galaxy Magnolia,7.1,CTP,CFT UDC Spring 2006,1-10%,0,0,0,0,23,15,15,1-10%,3,4,Maintained land,5,OTHRMUNGOV,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Tennessee Trees,Excellent,-77.06657285,38.94499432,Good,Good,Good,Good,OTHRMUNGOV,2006,Spring, ,Continuous Strip,CTP,BB,119,Tennessee Trees,Magnolia,liliiflora 'Nigra' x sprengeri 'Diva',Good,2,1,0,0,13,Good
5371,LGCY2709,10/15/05 0:00, ,Quercus phellos,Willow Oak,14,CTP,McKinley Technology High, ,0,0,0,0,34,34,37,21-30%,4,5,Tree Strip,12,DOT,Continuous Strip,Good, , , , , , , , , , , ,Ingleside, ,-77.00509924,38.9118134,Good,Good,Good,Good,DOT,2005,Fall, ,Continuous Strip,CTP,CT,120,Ingleside,Quercus,phellos,Good,2.5,1,0,0,14,Good
5372,LGCY2774,12/2/07 0:00, ,Chionanthus virginicus,White Fringetree,3.1,CTP,Whittier Back Yards,1-10%,3,2.7,2.1,0,17,16,17,1-10%,4,4,Back Yard,0,PRIVATE,Open Land,Good, , , , , , , , , , , ,Bremo Trees, ,-77.03411104,38.97040235,Good,Good,Good,Good,PRIVATE,2007,Fall, ,Open Land,CTP,BB,125,Bremo Trees,Chionanthus,virginicus,Good,1,1,0,0,12,Good
5373,LGCY2796,11/8/06 0:00, ,Lagerstroemia indica,Crapemyrtle,0,CTP,Penn Branch RFP/ECC, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Merrifield,Alive,-76.95139693,38.86968896,Good,Good,Good,Good,PRIVATE,2006,Fall, ,Open Land,No Program,CT,120,Merrifield,Lagerstroemia,indica,Good,0,1,0,0,13,Good
5374,LGCY2798,10/21/06 0:00, ,Prunus yedoensis,Yoshino Cherry,0,CTP,Penn Branch RFP/ECC, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Alive,-76.95144534,38.86966415,Good,Good,Good,Good,PRIVATE,2006,Fall, ,Open Land,No Program,BB,120,Robin Hill Farm Nursery,Prunus,x yedoensis,Good,2,1,0,0,13,Good
5375,LGCY2799,10/26/06 0:00, ,Lagerstroemia indica,Crapemyrtle,0,CTP,Penn Branch RFP/ECC, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Alive,-76.95890833,38.87354406,Good,Good,Good,Good,PRIVATE,2006,Fall, ,Open Land,No Program,BB,120,Robin Hill Farm Nursery,Lagerstroemia,indica,Good,0,1,0,0,13,Good
5376,LGCY2800,11/8/06 0:00, ,Lagerstroemia indica,Crapemyrtle,0,CTP,Penn Branch RFP/ECC, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Merrifield,Alive,-76.9588011,38.87349941,Good,Good,Good,Good,PRIVATE,2006,Fall, ,Open Land,No Program,BB,120,Merrifield,Lagerstroemia,indica,Good,0,1,0,0,13,Good
5377,LGCY2833,4/30/05 0:00, ,Prunus yedoensis,Yoshino Cherry,7.3,CTP,Boys and Girls Club #10,0%,0,0,0,0,18,16,15,1-10%,3,4,Maintained land,6,OTHPRIVATE,Open Land,Good, , , , ,POOR, , , , , , ,Robin Hill Farm Nursery,Excellent,-77.03249663,38.92236105,Good,Good,Good,Good,OTHPRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Prunus,x yedoensis,Good,2.5,1,0,0,14,Good
5378,LGCY2842,10/22/05 0:00, ,Metasequoia glyptostroboides,Dawn Redwood,0,CTP,Murch Elementary School, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,DCPS,Open Land,Missing, , , , ,GOOD, , , , , , ,Ingleside,Excellent,-77.0714416,38.95274068,Good,Good,Good,Good,DCPS,2005,Fall, ,Open Land,CTP,CT,120,Ingleside,Metasequoia,glyptostroboides,Good,3,1,0,0,14,Missing
5379,LGCY2858,5/2/06 0:00, ,Platanus x acerifolia,London Planetree,11.3,CTP,McKinley GreenTech Planting, ,0,0,0,0,23,24,24,11-20%,4,4,Tree Box,4,OTHRMUNGOV,Tree Box,Good, , , , , , , , , , , ,Merrifield, ,-77.00635783,38.91551664,Good,Good,Good,Good,OTHRMUNGOV,2006,Spring, ,Tree Box,CTP,BB,119,Merrifield,Platanus,x acerifolia,Good,2,1,0,0,13,Good
5380,LGCY2903,4/20/05 0:00, ,Amelanchier laevis,Allegheny Serviceberry,2.8,CTP,Dupont Park Seventh Day Adventist School,0%,2.8,2.7,0,0,14,15,14,11-20%,4,3,Maintained Land,4,PRIVTSCHOOL,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Good,-76.94768285,38.8703636,Good,Poor,Good,Good,PRIVTSCHOOL,2005,Spring, ,Open Land,CTP,BB,121,Robin Hill Farm Nursery,Amelanchier,laevis,Good,0,1,0,0,14,Good
5381,LGCY2904,4/20/05 0:00, ,Amelanchier laevis,Allegheny Serviceberry,4,CTP,Dupont Park Seventh Day Adventist School,0%,3,4.4,3.6,1.8,17,20,20,1-10%,4,3,Maintained Land,5,PRIVTSCHOOL,Open Land,Good, , , , , , , , , , , ,Robin Hill Farm Nursery,Excellent,-76.94763611,38.87036358,Good,Good,Good,Good,PRIVTSCHOOL,2005,Spring, ,Open Land,CTP,BB,121,Robin Hill Farm Nursery,Amelanchier,laevis,Good,0,1,0,0,14,Good
5382,LGCY2924,5/6/06 0:00, ,Cornus florida,White Dogwood,1.5,CTP,Penn Branch Citizen Civic Association,21-30%,0,0,0,0,12,8,8,61-70%,2,4,Back Yard,7,PRIVATE,Open Land,Good, , , , ,NOT HOME, , , , , , ,Watkins Nurseries,Good,-76.9501038,38.87194246,Left Card,Left Card, ,Good,PRIVATE,2006,Spring, ,Open Land,CTP,BB,119,Watkins Nurseries,Cornus,florida,Good,2,1,0,0,13,Good
5383,LGCY2925,5/6/06 0:00, ,Cercis canadensis,Eastern Redbud,6.9,CTP,Penn Branch Citizen Civic Association,31-40%,0,0,0,0,32,18,22,21-30%,4,4,Back Yard,18,PRIVATE,Open Land,Good, , , , ,NOT HOME, , , , , , ,Watkins Nurseries,Excellent,-76.95003177,38.87192097,Left Card,Left Card, ,Good,PRIVATE,2006,Spring, ,Open Land,CTP,BB,119,Watkins Nurseries,Cercis,canadensis,Good,1,1,0,0,13,Good
5384,LGCY2946,11/3/05 0:00, ,Cornus kousa,Kousa Dogwood,0,CTP,Noyes Park/Brookland, ,0,0,0,0,0,0,0, , , ,Front Yard,0,PRIVATE,Open Land,Good, , , , , , , , , , , ,Ingleside, ,-76.99255909,38.92371235,Missing,Good,Missing,Good,PRIVATE,2005,Fall, ,Open Land,CTP,BB,119,Ingleside,Cornus,kousa,Good,0,1,0,0,14,Good
5385,LGCY3025,10/11/03 0:00,Princeton,Ulmus americana,American Elm,9.1,CTP,Upshur Park 2003,71-80%,0,0,0,0,32,21,24,1-10%,4,3,Planting Strip,10,DOT,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Riveredge Farms,Excellent,-77.03338687,38.94239266,Good,Good,Good,Good,DOT,2003,Fall, ,Continuous Strip,CTP,CT,120,Riveredge Farms,Ulmus,americana,Good,1,1,0,0,16,Good
5386,LGCY3121,4/30/05 0:00, ,Ginkgo biloba,Ginkgo,13.2,CTP,Monroe Street,11-20%,0,0,0,0,34,33,35,0%,5,5,Front Yard,3,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-77.03608982,38.9325407,Good,Good,Good,Good,PRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Ginkgo,biloba,Good,2.5,1,0,0,14,Good
5387,LGCY3130,11/5/05 0:00, ,Lagerstroemia indica,Crapemyrtle,3.5,CTP,River Terrace,0%,2.9,0,0,0,12,16,15,1-10%,4,3,Maintained Land,4,NPS,Open Land,Good, , , , , , , , , , , ,Ingleside, ,-76.9602144,38.89472253,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,BB,120,Ingleside,Lagerstroemia,indica,Good,2,1,0,0,14,Good
5388,LGCY3131,11/5/05 0:00, ,Juniperus virginiana,Eastern Red-cedar,5.5,CTP,River Terrace,0%,0,0,0,0,13,12,11,21-30%,3,2,Natural Area,1,NPS,Open Land,Poor, , , , ,GOOD, , , , , , ,Ingleside,Excellent,-76.9613741,38.88995414,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,BB,120,Ingleside,Juniperus,virginiana,Good,2,1,0,0,14,Poor
5389,LGCY3132,11/5/05 0:00, ,Juniperus virginiana,Eastern Red-cedar,6,CTP,River Terrace,0%,2.8,0,0,0,16,14,13,11-20%,3,3,Natural Area,0,NPS,Open Land,Poor, , , , ,GOOD, , , , , , ,Ingleside,Poor,-76.9615097,38.88995797,Good,Good,Dead,Poor,NPS,2005,Fall, ,Open Land,CTP,BB,120,Ingleside,Juniperus,virginiana,Poor,2,1,0,0,14,Poor
5390,LGCY3173,11/16/04 0:00, ,Liquidambar styraciflua,American Sweetgum,2.8,CTP,Prospect Learning Center,0%,0,0,0,0,19,8,7,21-30%,4,4,Side Yard,5,DCPS,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-76.993331,38.89744577,Good,Good,Missing,Good,DCPS,2004,Fall, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Liquidambar,styraciflua,Good,2,1,0,0,15,Good
5391,LGCY3188,4/30/05 0:00, ,Chionanthus virginicus,White Fringetree,0,CTP,Monroe Street, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,PRIVATE,Open Land,Missing, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-77.03544503,38.93230586,Good,Good,Good,Good,PRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Chionanthus,virginicus,Good,2.5,1,0,0,14,Missing
5392,LGCY3209,4/29/05 0:00, ,Juniperus virginiana,Eastern Red-cedar,7.7,CTP,Burrville Elementary School,0%,0,0,0,0,16,16,18,31-40%,3,3,Maintained Land,0,DCPS,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-76.92313924,38.89995888,Good,Good,Good,Good,DCPS,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Juniperus,virginiana,Good,1,1,0,0,14,Good
5393,LGCY3210,4/29/05 0:00, ,Ilex opaca,American Holly,5.5,CTP,Burrville Elementary School,0%,0,0,0,0,12,15,13,11-20%,4,4,Maintained Land,0,DCPS,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-76.92327286,38.9000321,Good,Good,Good,Good,DCPS,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Ilex,opaca,Good,0,1,0,0,14,Good
5394,LGCY3268,3/8/08 0:00,DD Blanchard,Magnolia grandiflora,Southern Magnolia,8.2,CTP,Rosedale Conservancy,0%,0,0,0,0,17,13,13,1-10%,5,4,Maintained Land,1,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Good,-77.06951723,38.93542032,Good,Good,Good,Good,PRIVATE,2008,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Magnolia,grandiflora,Good,1.75,1,0,0,11,Good
5395,LGCY3269,3/12/08 0:00, ,Chionanthus virginicus,White Fringetree,5.5,CTP,Banneker High School,1-10%,0,0,0,0,13,20,13,11-20%,4,4,Maintained land,1,DCPS,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.02352617,38.92378346,Good,Good,Good,Good,DCPS,2008,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Chionanthus,virginicus,Good,1,1,0,0,11,Good
5396,LGCY3271,3/15/08 0:00, ,Cercis canadensis,Eastern Redbud,0,CTP,Rosedale Conservancy, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,PRIVATE,Open Land,Missing, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.07060284,38.93475172,Good,Good,Good,Good,PRIVATE,2008,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Cercis,canadensis,Good,1,1,0,0,11,Missing
5397,LGCY3279,3/22/08 0:00, ,Prunus 'Okame',Japanese Flowering Cherry,6.8,CTP,Friendship Station USPS,0%,0,0,0,0,22,14,15,11-20%,4,4,Maintained land,5,OTHRMUNGOV,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.07597656,38.94158356,Good,Good,Good,Good,OTHRMUNGOV,2008,Spring, ,Open Land,CTP,BB,802,Bremo Trees,Prunus,x incamp,Good,2,1,0,0,11,Good
5398,LGCY3314,4/23/05 0:00, ,Cercis canadensis,Eastern Redbud,0,CTP,Eastern Boys & Girls Club, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,OTHPRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-76.9809001,38.88581931,Good,Good,Good,Poor,OTHPRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Cercis,canadensis,Good,2.5,1,0,0,14,Good
5399,LGCY3337,4/30/05 0:00, ,Ginkgo biloba,Ginkgo,7,CTP,Monroe Street,1-10%,0,0,0,0,26,17,17,1-10%,4,4,Front Yard,4,PRIVATE,Open Land,Good, , , , , , , , , , , ,Robin Hill Farm Nursery, ,-77.03353709,38.93155957,Good,Good,Good,Good,PRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Ginkgo,biloba,Good,2.5,1,0,0,14,Good
5400,LGCY3362,11/5/05 0:00, ,Lagerstroemia indica,Crapemyrtle,6.3,CTP,River Terrace,0%,3.9,3.5,0,0,16,21,20,1-10%,4,3,Maintained Land,4,NPS,Open Land,Good, , , , ,GOOD, , , , , , ,Ingleside,Excellent,-76.9608139,38.89666819,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,BB,120,Ingleside,Lagerstroemia,indica,Good,1.5,1,0,0,14,Good
5401,LGCY3374,5/2/07 0:00, ,Quercus phellos,Willow Oak,11.9,CTP,Restore Mass Ave.,71-80%,0,0,0,0,43,28,30,1-10%,4,4,Maintained Land,7,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.05686351,38.91651421,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Quercus,phellos,Good,2,1,0,0,12,Good
5402,LGCY3416,11/5/05 0:00, ,Betula nigra,River Birch,6.7,CTP,River Terrace,0%,6,6.7,0,0,35,31,34,21-30%,4,4,Maintained Land,1,NPS,Open Land,Good, , , , ,GOOD, , , , , , ,Ingleside,Excellent,-76.96081725,38.89354019,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,CT,120,Ingleside,Betula,nigra,Good,0,1,0,0,14,Good
5403,LGCY3417,11/5/05 0:00, ,Betula nigra,River Birch,9.7,CTP,River Terrace,0%,0,0,0,0,31,29,28,11-20%,4,5,Maintained Land,1,NPS,Open Land,Good, , , , ,GOOD, , , , , , ,Ingleside,Good,-76.96090497,38.89351422,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,CT,120,Ingleside,Betula,nigra,Good,0,1,0,0,14,Good
5404,LGCY3437,5/2/07 0:00, ,Nyssa sylvatica,Tupelo Black Gum,0,CTP,Restore Mass Ave., ,0,0,0,0,0,0,0, , , , ,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.05678852,38.91601209,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Nyssa,sylvatica,Good,2,1,0,0,12,Good
5405,LGCY3438,5/2/07 0:00, ,Cornus kousa,Kousa Dogwood,0,CTP,Restore Mass Ave., ,0,0,0,0,0,0,0, , , , ,0,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.05675328,38.91604736,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Cornus,kousa,Good,2,1,0,0,12,Good
5406,LGCY3440,11/5/05 0:00, ,Betula nigra,River Birch,4.4,CTP,River Terrace,11-20%,4.7,0,0,0,22,20,18,31-40%,4,4,Maintained Land,5,NPS,Open Land,Good, , , , ,POOR, , , , , , ,Ingleside,Good,-76.96105779,38.89633341,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,CT,120,Ingleside,Betula,nigra,Good,1.5,1,0,0,14,Good
5407,LGCY3472,5/5/07 0:00, ,Magnolia grandiflora,Southern Magnolia,14,CTP,Pennsylvania Ave. Baptist Church,11-20%,0,0,0,0,0,17,18,21-30%,4,4,Maintained Land,3,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-76.96347457,38.87131678,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Magnolia,grandiflora,Good,0,1,0,0,12,Good
5408,LGCY3495,5/5/07 0:00, ,Gleditsia triacanthos,Honey Locust,15,CTP,Pennsylvania Ave. Baptist Church,0%,0,0,0,0,0,27,26,31-40%,3,4,Maintained Land,7,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-76.96462204,38.87184998,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Gleditsia,triacanthos,Good,2,1,0,0,12,Good
5409,LGCY3508,5/16/07 0:00,Princeton,Ulmus americana,American Elm,0,CTP,CT Staff Planting Day,21-30%,0,0,0,0,45,35,32,11-20%,4,5,Front yard,8,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Riveredge Farms,Excellent,-77.02858975,38.93465202,Good,Good,Poor,Good,PRIVATE,2007,Spring, ,Open Land,AER,CT,120,Riveredge Farms,Ulmus,americana,Good,1.5,1,0,0,12,Good
5410,LGCY3530,3/22/08 0:00,DD Blanchard,Magnolia grandiflora,Southern Magnolia,1.8,CTP,Friendship Station USPS,0%,0,0,0,0,14,3,3,81-90%,1,3,Maintained Land,0,OTHRMUNGOV,Open Land,Poor, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-77.07504499,38.94210621,Good,Good,Good,Good,OTHRMUNGOV,2008,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Magnolia,grandiflora,Good,0,1,0,0,11,Poor
5411,LGCY3586,11/19/05 0:00, ,Acer rubrum,Red Maple,4.5,CTP,Fort Davis,0%,0,0,0,0,21,18,17,11-20%,4,3,Maintained Land,5,NPS,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Good,-76.94893842,38.86834425,Good,Good,Good,Good,NPS,2005,Fall, ,Open Land,CTP,BB,121,Robin Hill Farm Nursery,Acer,rubrum,Good,2.5,1,0,0,14,Good
5412,LGCY3633,12/10/03 0:00,Princeton,Ulmus americana,American Elm,10,CTP,Woodley Park,51-60%,0,0,0,0,43,32,30,1-10%,3,3,Tree box,10,DOT,Tree Box,Good, , , , ,GOOD, , , , , , ,Riveredge Farms,Excellent,-77.05937231,38.92461691,Good,Good,Good,Good,DOT,2003,Fall, ,Tree Box,CTP,CT,120,Riveredge Farms,Ulmus,americana,Good,1,1,0,0,16,Good
5413,LGCY3665,4/30/05 0:00, ,Cercis canadensis,Eastern Redbud,0,CTP,St. Stephens Church, ,13,12,15,0,24,32,34,1-10%,5,5,Maintained Land,8,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-77.03583613,38.9331151,Poor,Good,Poor,Good,PRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Cercis,canadensis,Good,2,1,0,0,14,Good
5414,LGCY3667,4/30/05 0:00, ,Lagerstroemia indica,Crapemyrtle,0,CTP,St. Stephens Church, ,2.1,2.3,1.8,0,17,20,20,0%,5,5,Maintained Land,5,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Robin Hill Farm Nursery,Excellent,-77.03627787,38.93333095,Good,Good,Good,Good,PRIVATE,2005,Spring, ,Open Land,CTP,BB,120,Robin Hill Farm Nursery,Lagerstroemia,indica,Good,0,1,0,0,14,Good
5415,LGCY3677,3/29/08 0:00, ,Cercis canadensis,Eastern Redbud,7.8,CTP,North Portal Estates,21-30%,0,0,0,0,16,23,26,1-10%,3,4,Front Yard,4,PRIVATE,Open Land,Good, , , , , , , , , , , ,American Native Plants, ,-77.04242304,38.9923291,Good,Good,Good,Good,PRIVATE,2008,Spring, ,Open Land,CTP,CT,125,American Native Plants,Cercis,canadensis,Good,1,1,0,0,11,Good
5416,LGCY3725,11/11/06 0:00, ,Hamamelis virginiana,Common Witchazel,0,CTP,Crispus Attucks, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,OTHPRIVATE,Open Land,Missing, , , , , , , , , , , ,Watkins Nurseries, ,-77.01079424,38.91750658,Good,Good,Good,Good,OTHPRIVATE,2006,Fall, ,Open Land,CTP,BB,119,Watkins Nurseries,Hamamelis,virginiana,Good,1,1,0,0,13,Missing
5417,LGCY3737,4/20/05 0:00,Princeton,Ulmus americana,American Elm,14.2,CTP,Dupont Park Seventh Day Adventist School, ,0,0,0,0,40,41,45,1-10%,3,4,Maintained Land,7,PRIVTSCHOOL,Open Land,Good, , , , ,GOOD, , , , , , ,Riveredge Farms,Excellent,-76.94768685,38.87005974,Good,Good,Poor,Poor,PRIVTSCHOOL,2005,Spring, ,Open Land,CTP,BB,121,Riveredge Farms,Ulmus,americana,Good,2,1,0,0,14,Good
5418,LGCY3779,5/5/07 0:00, ,Magnolia grandiflora,Southern Magnolia,3,CTP,Pennsylvania Ave. Baptist Church,11-20%,5.2,0,0,0,0,18,14.5,1-10%,5,4,Maintained Land,0,PRIVATE,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-76.96467186,38.8714894,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Continuous Strip,CTP,BB,119,Bremo Trees,Magnolia,grandiflora,Good,0,1,0,0,12,Good
5419,LGCY3780,5/5/07 0:00, ,Prunus serrulata kwanzan,Kwanzan Cherry,9.5,CTP,Pennsylvania Ave. Baptist Church,1-10%,0,0,0,0,19,32.4,34.6,0%,4,4,Maintained Land,4,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-76.96466474,38.87120546,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Prunus,serrulata,Good,2,1,0,0,12,Good
5420,LGCY3781,5/5/07 0:00, ,Prunus serrulata kwanzan,Kwanzan Cherry,8.5,CTP,Pennsylvania Ave. Baptist Church,0%,0,0,0,0,18,21,29,1-10%,5,4,Maintained Land,4,PRIVATE,Open Land,Good, , , , ,GOOD, , , , , , ,Bremo Trees,Excellent,-76.96411511,38.87114756,Good,Good,Good,Good,PRIVATE,2007,Spring, ,Open Land,CTP,BB,119,Bremo Trees,Prunus,serrulata,Good,2,1,0,0,12,Good
5421,LGCY3825,6/10/04 0:00, ,Betula nigra,River Birch,6.8,CTP,Jelleff Boys and Girls Club,41-50%,0,0,0,0,23,28,28,41-50%,3,4,Planting Strip,8,PRIVATE,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Merrifield,Excellent,-77.06659057,38.91505701,Good,Good,Good,Good,PRIVATE,2004,Spring, ,Continuous Strip,CTP,BB,120,Merrifield,Betula,nigra,Good,2,1,0,0,15,Good
5422,LGCY3826,6/10/04 0:00, ,Betula nigra,River Birch,8.3,CTP,Jelleff Boys and Girls Club,31-40%,0,0,0,0,24,23,24,1-10%,3,4,Planting Strip,8,PRIVATE,Continuous Strip,Good, , , , , , , , , , , ,Merrifield,Excellent,-77.06664077,38.91514834,Good,Good,Good,Good,PRIVATE,2004,Spring, ,Continuous Strip,CTP,BB,120,Merrifield,Betula,nigra,Good,2,1,0,0,15,Good
5423,LGCY3828,6/10/04 0:00, ,Betula nigra,River Birch,9.5,CTP,Jelleff Boys and Girls Club,41-50%,0,0,0,0,30,35,35,21-30%,4,4,Planting Strip,7,PRIVATE,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Merrifield,Excellent,-77.0666087,38.91508528,Good,Good,Good,Good,PRIVATE,2004,Spring, ,Continuous Strip,CTP,BB,120,Merrifield,Betula,nigra,Good,2,1,0,0,15,Good
5424,LGCY3829,6/10/04 0:00, ,Betula nigra,River Birch,8.9,CTP,Jelleff Boys and Girls Club,31-40%,0,0,0,0,22,32,34,1-10%,4,4,Planting Strip,10,PRIVATE,Continuous Strip,Good, , , , ,GOOD, , , , , , ,Merrifield,Excellent,-77.06665782,38.91518089,Good,Good,Good,Good,PRIVATE,2004,Spring, ,Continuous Strip,CTP,BB,120,Merrifield,Betula,nigra,Good,2,1,0,0,15,Good
5425,LGCY3837,3/29/08 0:00,Dura Heat,Betula nigra,River Birch,0,CTP,North Portal Estates, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Missing, , , , , , , , , , , ,American Native Plants, ,-77.04284461,38.99331388,Left Card,Left Card,Good,NA,PRIVATE,2008,Spring, ,Open Land,CTP,CT,125,American Native Plants,Betula,nigra,Good,1,1,0,0,11,Missing
5426,LGCY3838,3/29/08 0:00, ,Cercis canadensis,Eastern Redbud,0,CTP,North Portal Estates, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , , , , , , , , ,Merrifield, ,-77.04284155,38.99325019,Left Card,Left Card,Missing,NA,PRIVATE,2008,Spring, ,Open Land,CTP,BB,125,Merrifield,Cercis,canadensis,Good,0,1,0,0,11,Good
5427,LGCY3839,3/29/08 0:00, ,Cercis canadensis,Eastern Redbud,0,CTP,North Portal Estates, ,0,0,0,0,0,0,0, , , ,Back Yard,0,PRIVATE,Open Land,Good, , , , , , , , , , , ,Merrifield, ,-77.04276902,38.99327616,Left Card,Left Card,Good,NA,PRIVATE,2008,Spring, ,Open Land,CTP,BB,125,Merrifield,Cercis,canadensis,Good,0,1,0,0,11,Good
5428,LGCY3861,3/29/08 0:00, ,Nyssa sylvatica,Tupelo Black Gum,3.2,CTP,North Portal Estates,0%,0,0,0,0,17,15,14,1-10%,4,3,Front Yard,5,PRIVATE,Open Land,Good, , , , , , , , , , , ,American Native Plants, ,-77.04009755,38.99457219,Good,Good,Good,Good,PRIVATE,2008,Spring, ,Open Land,CTP,CT,125,American Native Plants,Nyssa,sylvatica,Good,1,1,0,0,11,Good
